Step,0.5000 ,1.0000 ,2.0000 
1,0.1647 ,0.1592 ,0.1565 
2,0.1723 ,0.1803 ,0.1627 
3,0.1636 ,0.1901 ,0.1564 
4,0.1818 ,0.1793 ,0.1764 
5,0.2036 ,0.1773 ,0.1710 
6,0.2030 ,0.1908 ,0.1658 
7,0.1632 ,0.1547 ,0.1431 
8,0.1553 ,0.1846 ,0.1619 
9,0.1615 ,0.1954 ,0.1302 
10,0.2040 ,0.1905 ,0.1739 
11,0.2098 ,0.2068 ,0.1782 
12,0.2145 ,0.2120 ,0.1865 
13,0.2126 ,0.2102 ,0.1890 
14,0.2212 ,0.2152 ,0.1898 
15,0.2203 ,0.2104 ,0.1984 
16,0.2244 ,0.2137 ,0.1941 
17,0.2288 ,0.2194 ,0.2158 
18,0.2320 ,0.2284 ,0.2026 
19,0.2353 ,0.2353 ,0.2128 
20,0.2401 ,0.2359 ,0.2215 
21,0.2479 ,0.2401 ,0.2189 
22,0.2499 ,0.2415 ,0.2204 
23,0.2515 ,0.2413 ,0.2194 
24,0.2492 ,0.2426 ,0.2214 
25,0.2534 ,0.2410 ,0.2270 
26,0.2536 ,0.2435 ,0.2289 
27,0.2558 ,0.2487 ,0.2254 
28,0.2615 ,0.2421 ,0.2257 
29,0.2628 ,0.2467 ,0.2278 
30,0.2624 ,0.2489 ,0.2265 
31,0.2630 ,0.2520 ,0.2322 
32,0.2644 ,0.2522 ,0.2343 
33,0.2611 ,0.2559 ,0.2307 
34,0.2653 ,0.2499 ,0.2315 
35,0.2678 ,0.2502 ,0.2279 
36,0.2692 ,0.2492 ,0.2325 
37,0.2651 ,0.2516 ,0.2330 
38,0.2669 ,0.2518 ,0.2324 
39,0.2688 ,0.2509 ,0.2312 
40,0.2686 ,0.2545 ,0.2356 
